original_term_id,kept_term_id,pair_similarity
GO:0060420,GO:0046620,0.721
GO:0055021,GO:0046620,0.642
GO:0048638,GO:0046620,0.763
GO:0021761,GO:0021542,0.799
GO:0021766,GO:0021542,0.927
GO:0021543,GO:0021542,0.815
GO:0021537,GO:0021542,0.777
GO:0030900,GO:0021542,0.754
GO:0043542,GO:0035767,0.686
GO:0060326,GO:0035767,0.797
GO:0055017,GO:0060419,0.808
GO:0007399,GO:0021915,0.602
GO:1901342,GO:0045765,0.714
GO:0001525,GO:0045765,0.742
GO:0048514,GO:0045765,0.663
GO:0043269,GO:0034765,0.697
GO:0009888,GO:0060537,0.812
GO:0006812,GO:0030001,0.833
GO:0050793,GO:0022603,0.724
GO:0035295,GO:0035239,0.795
GO:0001944,GO:0001568,0.89
